"X pos","Y pos","Velocity"
"164.02218743052305"
"2.466385315426476","3.2802924695172124","2.3"
"2.562614570966676","3.252739498184034","2.3"
"2.658743826506876","3.2251865268508557","2.3"
"2.754873082047076","3.1976335555176774","2.3"
"2.851002337587276","3.1700805841844995","2.3"
"2.9471315931274757","3.142527612851321","2.3"
"3.0432608486676753","3.1149746415181427","2.3"
"3.1393901042078753","3.0874216701849644","2.3"
"3.2355193597480754","3.059868698851786","2.3"
"3.3316486152882754","3.0323157275186077","2.3"
"3.427777870828475","3.0047627561854293","2.3"
"3.5239071263686745","2.977209784852251","2.3"
"3.6200363819088746","2.9496568135190726","2.3"
"3.7161656374490746","2.9221038421858943","2.3"
"3.8122948929892746","2.894550870852716","2.3"
"3.9084241485294746","2.8669978995195375","2.3"
"4.004553404069674","2.839444928186359","2.3"
"4.100682659609874","2.811891956853181","2.3"
"4.196811915150074","2.7843389855200025","2.3"
"4.292941170690273","2.756786014186824","2.3"
"4.389070426230473","2.7292330428536458","2.3"
"4.485199681770673","2.7016800715204674","2.3"
"4.581328937310873","2.674127100187289","2.3"
"4.6774581928510734","2.6465741288541107","2.3"
"4.7735874483912735","2.6190211575209323","2.3"
"4.8697167039314735","2.591468186187754","2.3"
"4.9658459594716735","2.5639152148545756","2.3"
"5.0619752150118735","2.5363622435213973","2.3"
"5.1581044705520736","2.508809272188219","2.3"
"5.254233726092274","2.4812563008550406","2.3"
"5.350362981632474","2.453703329521862","2.3"
"5.446492237172674","2.426150358188684","2.3"
"5.542621492712874","2.3985973868555055","2.3"
"5.638750748253074","2.3710444155223276","2.3"
"5.734880003793274","2.3434914441891497","2.3"
"5.831009259333474","2.3159384728559713","2.3"
"5.927138514873674","2.288385501522793","2.3"
"6.023267770413874","2.2608325301896146","2.3"
"6.119397025954074","2.2332795588564363","2.3"
"6.215526281494274","2.205726587523258","2.3"
"6.287479450859452","2.185103067641519","0.3261826160554468"
"6.338610260646043","2.1704190775752985","0.0"
