"X pos","Y pos","Velocity"
"-176.71404147901194"
"2.8856708190489764","3.0829816442830946","2.3"
"2.9856060797192945","3.0887193029423083","2.3"
"3.0854413403896124","3.094456961601522","2.3"
"3.1852766010599303","3.100194620260736","2.3"
"3.2851118617302486","3.1059322789199495","2.3"
"3.384947122400567","3.1116699375791628","2.3"
"3.484782383070885","3.1174075962383765","2.3"
"3.5846176437412027","3.12314525489759","2.3"
"3.6844529044115206","3.128882913556804","2.3"
"3.7842881650818385","3.1346205722160176","2.3"
"3.8841234257521564","3.1403582308752314","2.3"
"3.9839586864224747","3.146095889534445","2.3"
"4.083793947092793","3.151833548193659","2.3"
"4.1836292077631105","3.1575712068528725","2.3"
"4.283464468433429","3.163308865512086","2.3"
"4.383299729103747","3.1690465241712995","2.3"
"4.483134989774065","3.1747841828305132","2.3"
"4.582970250444383","3.180521841489727","2.3"
"4.682805511114701","3.1862595001489407","2.3"
"4.782640771785019","3.1919971588081544","2.3"
"4.882476032455337","3.197734817467368","2.3"
"4.964594114511567","3.2024542474706","0.36590309947138355"
"5.03142604347001","3.206300910054418","0.0"
